area_code,time_zone,state,region,utc_offset_std,utc_offset_ds
915*,MST,Texas,"El Paso, Socorro, Fabens, Dell City, Van Horn, Fort Bliss *(Area Code crosses into CST time zone)",-7,-6
916,PST,California,"Sacramento, Roseville, Fair Oaks, Folsom, Elk Grove, South Placer",-8,-7
917,EST,New York,Overlay of 212/718 (New York City - cellular/pager only),-5,-4
918,CST,Oklahoma,"Tulsa, Broken Arrow, Muskogee, Bartlesville, McAlester",-6,-5
919,EST,North Carolina,"Raleigh, Durham, Cary, Chapel Hill, Goldsboro, Apex, Sanford, Wake Forest",-5,-4
920,CST,Wisconsin,"Green Bay, Appleton, Racine, Fond du Lac, Oshkosh, Sheboygan",-6,-5
925,PST,California,"Walnut Creek, Pleasanton, Concord, Livermore, Bishop Ranch, Danville, Antioch",-8,-7
928*,MST,Arizona,"Yuma, Flagstaff, Prescott, Sedona, Bullhead City, Kingman, Lake Havasu City *(Area Code crosses into MST time zone)",-7,-7
929,EST,New York,"Overlay of 718 Area Code (Bronx, Brooklyn, Queens, Staten Island).",-5,-4
930*,EST,Indiana,Overlay of 812 Area Code *(Area Code crosses into CST time zone),-5,-4
931,CST,Tennessee,"Clarksville, Shelbyville, Cookeville, Columbia",-6,-5
934,EST,New York,Overlay of 631 Area Code.,-5,-4
936,CST,Texas,"Conroe, Nacogdoches, Huntsville, Lufkin, Madisonville",-6,-5
937,EST,Ohio,"Dayton, Springfield, Bellefontaine, Beavercreek, Franklin",-5,-4
938,CST,Alabama,Overlay of 256 area code.,-6,-5
940,CST,Texas,"Wichita Falls, Denton, Gainesville",-6,-5
941,EST,Florida,"Sarasota, Bradenton, Venice, Port Charlotte, Punta Gorda",-5,-4
947,EST,Michigan,Overlay of 248 Area Code.,-5,-4
949,PST,California,"Irvine, Saddleback Valley, Newport Beach, Capistrano Valley, Laguna Beach",-8,-7
951,PST,California,"Riverside, Corona, Temecula, Arlington, Hemet, Moreno Valley, Murietta, Sun City, Elsinore",-8,-7
952,CST,Minnesota,"Bloomington, Burnsville, Eden Prairie, Minnetonka, Edina, St. Louis Park, Apple Valley",-6,-5
954,EST,Florida,"Fort Lauderdale, Hollywood, Pompano Beach, Deerfield Beach, Coral Springs",-5,-4
956,CST,Texas,"Brownsville, Laredo, McAllen, Harlingen, Edinburg",-6,-5
959,EST,Connecticut,Overlay of 860 Area Code,-5,-4
970,MST,Colorado,"Fort Collins, Greeley, Grand Junction, Loveland, Durango, Vail",-7,-6
971,PST,Oregon,Overlay of 503 area code.,-8,-7
972,CST,Texas,"Grand Prairie, Addison, Irving, Richardson, Plano, Carrollton",-6,-5
973,EST,New Jersey,"Newark, Morristown, Paterson, Passaic, Orange, Bloomfield, Caldwell, Whippany",-5,-4
978,EST,Massachusetts,"Lowell, Lawrence, Billerica, Concord, Wilmington, Sudbury, Fitchburg, Peabody, Andover, Beverly, Danvers",-5,-4
979,CST,Texas,"Bryan, Lake Jackson, Freeport, Brenham, Bay City, El Campo",-6,-5
980,EST,North Carolina,Overlay of 704 Area Code.,-5,-4
984,EST,North Carolina,Overlay of 919 area code.,-5,-4
985,CST,Louisiana,"Houma, Slidell, Hammond, Morgan City, Mandeville, Covington, Thibodaux, Bogalusa, St. Charles",-6,-5
989,EST,Michigan,"Saginaw, Bay City, Midland, Mount Pleasant",-5,-4
